q torque X Z Y vX vZ pasEffectue 
0.062611 2580.592902 -0.000482 0.060305 1.037955 -0.001860 -0.093513 0
0.062611 2580.592902 -0.000505 0.060892 1.037852 -0.001878 -0.096128 0
0.058030 2528.668303 -0.000505 0.060892 1.037852 -0.001878 -0.096218 0
0.058030 2528.668303 -0.000505 0.060892 1.037852 -0.001878 -0.096218 0
0.058030 2528.668303 -0.000505 0.060892 1.037852 -0.001878 -0.096218 0
0.058030 2528.668303 -0.000528 0.061422 1.037811 -0.001946 -0.093242 0
0.054516 2569.874883 -0.000528 0.061422 1.037811 -0.001946 -0.093087 0
0.054516 2569.874883 -0.000528 0.061422 1.037811 -0.001946 -0.093087 0
0.054516 2569.874883 -0.000551 0.061984 1.037711 -0.001945 -0.095695 0
0.050248 2516.477392 -0.000551 0.061984 1.037711 -0.001945 -0.095786 0
0.050248 2516.477392 -0.000551 0.061984 1.037711 -0.001945 -0.095786 0
0.050248 2516.477392 -0.000575 0.062489 1.037670 -0.001993 -0.092786 0
0.047165 2555.633073 -0.000575 0.062489 1.037670 -0.001993 -0.092631 0
0.047165 2555.633073 -0.000575 0.062489 1.037670 -0.001993 -0.092631 0
0.047165 2555.633073 -0.000575 0.062489 1.037670 -0.001993 -0.092631 0
0.047165 2555.633073 -0.000598 0.063041 1.037574 -0.001973 -0.096158 0
0.043315 2503.289479 -0.000598 0.063041 1.037574 -0.001973 -0.096249 0
0.043315 2503.289479 -0.000598 0.063041 1.037574 -0.001973 -0.096249 0
0.043315 2503.289479 -0.000621 0.063596 1.037535 -0.002001 -0.096896 0
0.040892 2556.782332 -0.000621 0.063596 1.037535 -0.002001 -0.096735 0
0.040892 2556.782332 -0.000621 0.063596 1.037535 -0.002001 -0.096735 0
0.040892 2556.782332 -0.000643 0.064282 1.037444 -0.001962 -0.105422 0
0.037557 2466.162613 -0.000643 0.064282 1.037444 -0.001962 -0.105487 0
0.037557 2466.162613 -0.000643 0.064282 1.037444 -0.001962 -0.105487 0
0.037557 2466.162613 -0.000643 0.064282 1.037444 -0.001962 -0.105487 0
0.037557 2466.162613 -0.000665 0.065061 1.037408 -0.001977 -0.111802 0
0.036047 2610.909917 -0.000665 0.065061 1.037408 -0.001977 -0.111593 0
0.036047 2610.909917 -0.000665 0.065061 1.037408 -0.001977 -0.111593 0
0.036047 2610.909917 -0.000685 0.066052 1.037321 -0.001918 -0.125520 0
0.032936 2397.521175 -0.000685 0.066052 1.037321 -0.001918 -0.125514 0
0.032936 2397.521175 -0.000685 0.066052 1.037321 -0.001918 -0.125514 0
0.032936 2397.521175 -0.000706 0.067201 1.037283 -0.001934 -0.136127 0
0.032483 2718.847636 -0.000706 0.067201 1.037283 -0.001934 -0.135844 0
0.032483 2718.847636 -0.000706 0.067201 1.037283 -0.001934 -0.135844 0
0.032483 2718.847636 -0.000706 0.067201 1.037283 -0.001934 -0.135844 0
0.032483 2718.847636 -0.000725 0.068624 1.037193 -0.001851 -0.153999 0
0.029321 2333.434871 -0.000725 0.068624 1.037193 -0.001851 -0.153872 0
0.029321 2333.434871 -0.000725 0.068624 1.037193 -0.001851 -0.153872 0
0.029321 2333.434871 -0.000744 0.070274 1.037144 -0.001882 -0.169307 0
0.030366 2912.973213 -0.000744 0.070274 1.037144 -0.001882 -0.168925 0
0.030366 2912.973213 -0.000744 0.070274 1.037144 -0.001882 -0.168925 0
0.030366 2912.973213 -0.000761 0.072228 1.037037 -0.001780 -0.189451 0
0.027284 2331.080560 -0.000761 0.072228 1.037037 -0.001780 -0.189158 0
0.027284 2331.080560 -0.000761 0.072228 1.037037 -0.001780 -0.189158 0
0.027284 2331.080560 -0.000761 0.072228 1.037037 -0.001780 -0.189158 0
0.027284 2331.080560 -0.000778 0.074470 1.036960 -0.001832 -0.209009 0
0.030621 3236.666492 -0.000778 0.074470 1.036960 -0.001832 -0.208507 0
0.030621 3236.666492 -0.000778 0.074470 1.036960 -0.001832 -0.208507 0
0.030621 3236.666492 -0.000793 0.077048 1.036810 -0.001714 -0.231699 0
0.028359 2454.563330 -0.000793 0.077048 1.036810 -0.001714 -0.231206 0
0.028359 2454.563330 -0.000793 0.077048 1.036810 -0.001714 -0.231206 0
0.028359 2454.563330 -0.000810 0.079949 1.036677 -0.001788 -0.254045 0
0.035105 3749.029530 -0.000810 0.079949 1.036677 -0.001788 -0.253398 0
0.035105 3749.029530 -0.000810 0.079949 1.036677 -0.001788 -0.253398 0
0.035105 3749.029530 -0.000810 0.079949 1.036677 -0.001788 -0.253398 0
0.035105 3749.029530 -0.000824 0.083207 1.036456 -0.001652 -0.278665 0
0.034591 2771.320312 -0.000824 0.083207 1.036456 -0.001652 -0.277946 0
0.034591 2771.320312 -0.000824 0.083207 1.036456 -0.001652 -0.277946 0
0.034591 2771.320312 -0.000839 0.086833 1.036237 -0.001744 -0.304406 0
0.045975 4506.886668 -0.000839 0.086833 1.036237 -0.001744 -0.303598 0
0.045975 4506.886668 -0.000839 0.086833 1.036237 -0.001744 -0.303598 0
0.045975 4506.886668 -0.000851 0.090815 1.035920 -0.001593 -0.329713 0
0.047842 3300.994730 -0.000851 0.090815 1.035920 -0.001593 -0.328751 0
0.047842 3300.994730 -0.000851 0.090815 1.035920 -0.001593 -0.328751 0
0.047842 3300.994730 -0.000851 0.090815 1.035920 -0.001593 -0.328751 0
0.047842 3300.994730 -0.000865 0.095184 1.035572 -0.001692 -0.357319 0
0.057859 3081.960196 -0.000865 0.095184 1.035572 -0.001692 -0.356283 0
0.057859 3081.960196 -0.000865 0.095184 1.035572 -0.001692 -0.356283 0
0.057859 3081.960196 -0.000877 0.099922 1.035139 -0.001587 -0.384250 0
0.067698 3628.622328 -0.000877 0.099922 1.035139 -0.001586 -0.383635 1
0.067486 3580.875529 -0.000877 0.099922 1.035139 -0.001586 -0.383635 1
