q torque X Z vX vZ pasEffectue 
0.081429 3116.913355 0.000601 -0.012872 0.003116 -0.036742 0
0.067344 2706.858723 0.000559 -0.012473 0.003238 -0.039246 0
0.081429 3116.913355 0.000601 -0.012872 0.003116 -0.036742 0
0.074001 2824.702546 0.000559 -0.012473 0.003238 -0.039246 0
0.074001 2824.702546 0.000559 -0.012473 0.003238 -0.039246 0
0.081429 3116.913355 0.000644 -0.013278 0.003256 -0.037679 0
0.080095 3372.311742 0.000644 -0.013278 0.003256 -0.037684 0
0.074001 2824.702546 0.000601 -0.012872 0.003116 -0.036771 0
0.080095 3372.311742 0.000644 -0.013278 0.003256 -0.037684 0
0.081429 3116.913355 0.000601 -0.012872 0.003116 -0.036742 0
0.081429 3116.913355 0.000601 -0.012872 0.003116 -0.036742 0
0.080095 3372.311742 0.000686 -0.013644 0.003204 -0.035578 0
0.081429 3116.913355 0.000601 -0.012872 0.003116 -0.036742 0
0.082252 3042.890348 0.000686 -0.013644 0.003204 -0.035553 0
0.081429 3116.913355 0.000644 -0.013278 0.003256 -0.037679 0
0.080095 3372.311742 0.000644 -0.013278 0.003256 -0.037684 0
0.082252 3042.890348 0.000729 -0.014023 0.003336 -0.036797 0
0.080095 3372.311742 0.000644 -0.013278 0.003256 -0.037684 0
0.078715 3285.831572 0.000729 -0.014023 0.003336 -0.036806 0
0.080095 3372.311742 0.000686 -0.013644 0.003204 -0.035578 0
0.078715 3285.831572 0.000729 -0.014023 0.003336 -0.036806 0
0.082252 3042.890348 0.000686 -0.013644 0.003204 -0.035553 0
0.078715 3285.831572 0.000771 -0.014368 0.003275 -0.035042 0
0.079528 3065.958789 0.000771 -0.014368 0.003275 -0.035021 0
0.082252 3042.890348 0.000729 -0.014023 0.003336 -0.036797 0
0.079528 3065.958789 0.000771 -0.014368 0.003275 -0.035021 0
0.078715 3285.831572 0.000729 -0.014023 0.003336 -0.036806 0
0.078715 3285.831572 0.000729 -0.014023 0.003336 -0.036806 0
0.079528 3065.958789 0.000813 -0.014729 0.003290 -0.036366 0
0.078715 3285.831572 0.000729 -0.014023 0.003336 -0.036806 0
0.076943 3243.770230 0.000813 -0.014729 0.003290 -0.036376 0
0.078715 3285.831572 0.000771 -0.014368 0.003275 -0.035042 0
0.076943 3243.770230 0.000813 -0.014729 0.003290 -0.036376 0
0.079528 3065.958789 0.000771 -0.014368 0.003275 -0.035021 0
0.076943 3243.770230 0.000850 -0.015057 0.003120 -0.034769 0
0.079528 3065.958789 0.000771 -0.014368 0.003275 -0.035021 0
0.078203 3078.868557 0.000850 -0.015057 0.003120 -0.034749 0
0.078203 3078.868557 0.000850 -0.015057 0.003120 -0.034749 0
0.079528 3065.958789 0.000813 -0.014729 0.003290 -0.036366 0
0.078203 3078.868557 0.000850 -0.015057 0.003120 -0.034749 0
0.076943 3243.770230 0.000813 -0.014729 0.003290 -0.036376 0
0.076943 3243.770230 0.000813 -0.014729 0.003290 -0.036376 0
0.078203 3078.868557 0.000887 -0.015404 0.003110 -0.036229 0
0.075893 3235.291135 0.000887 -0.015404 0.003110 -0.036240 0
0.076943 3243.770230 0.000850 -0.015057 0.003120 -0.034769 0
0.078203 3078.868557 0.000850 -0.015057 0.003120 -0.034749 0
0.078203 3078.868557 0.000850 -0.015057 0.003120 -0.034749 0
0.075893 3235.291135 0.000921 -0.015722 0.002946 -0.034793 0
0.078203 3078.868557 0.000850 -0.015057 0.003120 -0.034749 0
0.077960 3083.811291 0.000921 -0.015722 0.002946 -0.034775 0
0.077960 3083.811291 0.000921 -0.015722 0.002946 -0.034775 0
0.078203 3078.868557 0.000887 -0.015404 0.003110 -0.036229 0
0.075893 3235.291135 0.000887 -0.015404 0.003110 -0.036240 0
0.077960 3083.811291 0.000954 -0.016061 0.002956 -0.036388 0
0.075893 3235.291135 0.000887 -0.015404 0.003110 -0.036240 0
0.075486 3229.702997 0.000954 -0.016061 0.002956 -0.036401 0
0.075486 3229.702997 0.000954 -0.016061 0.002956 -0.036401 0
0.075893 3235.291135 0.000921 -0.015722 0.002946 -0.034793 0
0.075486 3229.702997 0.000954 -0.016061 0.002956 -0.036401 0
0.077960 3083.811291 0.000921 -0.015722 0.002946 -0.034775 0
0.077960 3083.811291 0.000921 -0.015722 0.002946 -0.034775 0
0.075486 3229.702997 0.000985 -0.016373 0.002845 -0.035088 0
0.078166 3094.468961 0.000985 -0.016373 0.002845 -0.035071 0
0.077960 3083.811291 0.000954 -0.016061 0.002956 -0.036388 0
0.078166 3094.468961 0.000985 -0.016373 0.002845 -0.035071 0
0.075486 3229.702997 0.000954 -0.016061 0.002956 -0.036401 0
0.075486 3229.702997 0.000954 -0.016061 0.002956 -0.036401 0
0.078166 3094.468961 0.001016 -0.016707 0.002864 -0.036780 0
0.075486 3229.702997 0.000954 -0.016061 0.002956 -0.036401 0
0.075573 3219.024784 0.001016 -0.016707 0.002864 -0.036794 0
0.075573 3219.024784 0.001016 -0.016707 0.002864 -0.036794 0
