qdot q torque X Z vX vZ pasEffectue 
0.000000 0.000000 0.000000 0.000175 -0.095254 -0.016275 -1.305353 1
0.000000 0.000000 0.000000 -0.000117 -0.119488 -0.017640 -1.573521 1
0.000000 0.000000 0.000000 -0.000581 -0.146981 -0.028438 -1.796534 1
0.000000 0.000000 0.000000 -0.001127 -0.179072 -0.033843 -2.104527 1
0.000000 0.000000 0.000000 -0.001852 -0.209647 -0.045368 -2.044142 1
0.000000 0.000000 0.000000 -0.002628 -0.239883 -0.049187 -2.054043 1
0.000000 0.000000 0.000000 -0.003580 -0.268695 -0.060710 -1.997444 1
0.000000 0.000000 0.000000 -0.004635 -0.297213 -0.067931 -2.008286 1
0.000000 0.000000 0.000000 -0.005852 -0.324459 -0.078864 -1.959245 1
0.000000 0.000000 0.000000 -0.007166 -0.351412 -0.085994 -1.968547 1
0.000000 0.000000 0.000000 -0.008662 -0.376724 -0.098441 -1.895471 1
0.000000 0.000000 0.000000 -0.010007 -0.401775 -0.090696 -1.904818 1
0.000000 0.000000 0.000000 -0.012118 -0.424897 -0.138807 -1.812214 1
0.000000 0.000000 0.000000 -0.013779 -0.447491 -0.113439 -1.803150 1
0.000000 0.000000 0.000000 -0.016273 -0.467919 -0.165907 -1.693613 1
0.000000 0.000000 0.000000 -0.018193 -0.487449 -0.133382 -1.659212 1
0.000000 0.000000 0.000000 -0.021181 -0.505260 -0.200457 -1.573914 1
-114.050759 -9.710654 1.468822 -0.023137 -0.521109 -0.140511 -1.472047 1
943.850497 -25.761657 -426.508904 -0.026597 -0.534381 -0.234200 -1.330706 1
-260.749268 -21.317722 -44.779552 -0.029568 -0.546777 -0.207811 -1.290558 1
254.877049 -25.640732 -224.147483 -0.032107 -0.559287 -0.184471 -1.309905 1
254.848879 -29.972617 -259.260366 -0.034625 -0.571288 -0.185711 -1.291341 1
-70.110198 -28.786101 -162.599418 -0.036951 -0.583517 -0.176472 -1.317269 1
-173.595773 -25.857772 -117.406629 -0.037474 -0.597639 -0.068857 -1.444926 1
-175.012454 -22.917763 -79.939565 -0.035300 -0.609129 0.095153 -1.298562 1
-272.014025 -18.337971 -22.364688 -0.033057 -0.621611 0.101496 -1.370498 1
496.277355 -26.671570 -320.275725 -0.030044 -0.634261 0.150723 -1.393262 1
-303.723100 -21.584978 -33.714064 -0.027118 -0.647615 0.148431 -1.448841 1
102.429803 -23.298742 -171.604415 -0.024286 -0.659786 0.145635 -1.390058 1
-186.325395 -20.183551 -59.388586 -0.021203 -0.671500 0.163825 -1.374349 1
32.625214 -20.728841 -131.450708 -0.017960 -0.682468 0.176605 -1.340560 1
-247.949223 -16.583201 -14.554832 -0.014526 -0.693416 0.191509 -1.350267 1
-198.387184 -13.266588 -6.075175 -0.010861 -0.704305 0.209046 -1.357637 1
-158.800483 -10.613276 0.464601 -0.006908 -0.715115 0.230265 -1.363728 1
-120.043559 -8.608780 2.376228 -0.002593 -0.725795 0.256329 -1.366593 1
-83.943451 -7.207725 0.492026 0.002285 -0.735849 0.294949 -1.339118 1
-39.494944 -6.548693 -9.838119 0.006987 -0.745415 0.289129 -1.319375 1
-65.018119 -5.463434 5.037647 0.012169 -0.754419 0.323070 -1.294614 1
-48.442205 -4.654975 4.358396 0.017150 -0.762998 0.315986 -1.277787 1
-32.447367 -4.113437 2.340844 0.022513 -0.771072 0.344309 -1.255505 1
