qdot q torque X Z vX vZ pasEffectue 
15.157367 -0.483251 0.000000 0.000601 -0.020830 -0.000827 -0.406863 0
10.910103 -0.665086 0.000000 0.000616 -0.029711 0.001488 -0.562613 0
30.763156 -1.177807 0.000000 0.000593 -0.041337 -0.000760 -0.738898 0
12.122354 -1.379846 0.000000 0.000607 -0.055980 0.001425 -0.934519 0
49.641815 -2.207211 0.000000 0.000516 -0.074336 -0.004899 -1.175735 1
480.610951 -10.217395 0.000000 0.000351 -0.097102 -0.009570 -1.463027 1
395.868085 -16.815192 0.000000 0.000176 -0.125017 -0.010337 -1.799927 1
315.062075 -22.066118 0.000000 -0.000289 -0.157323 -0.028168 -2.095699 1
221.928608 -25.764621 0.000000 -0.000703 -0.195630 -0.025577 -2.494029 1
155.302043 -28.352163 0.000000 -0.001317 -0.239570 -0.038140 -2.876013 1
93.392163 -29.907389 0.000000 -0.002008 -0.281676 -0.043460 -2.807988 1
-9.941349 -29.740225 0.000000 -0.002962 -0.322022 -0.060214 -2.742807 1
-145.204113 -27.319389 0.000000 -0.003770 -0.361841 -0.052268 -2.750996 1
-319.652068 -21.991826 0.000000 -0.004843 -0.399973 -0.069217 -2.687904 1
-440.861088 -14.644135 0.000000 -0.005964 -0.436410 -0.073215 -2.622599 1
-483.997838 -6.577512 0.000000 -0.007419 -0.470857 -0.094685 -2.537695 1
-475.640639 1.349751 0.000000 -0.009039 -0.501400 -0.106292 -2.333951 1
-47.020536 2.133003 0.000000 -0.011336 -0.529176 -0.149137 -2.195759 1
-177.745885 5.095074 0.000000 -0.012774 -0.554707 -0.099029 -2.086562 1
-279.666162 9.755740 0.000000 -0.015464 -0.578671 -0.176885 -2.016487 1
-330.648194 15.266280 0.000000 -0.017050 -0.600557 -0.112230 -1.913755 1
-356.824565 21.213049 0.000000 -0.019807 -0.620764 -0.185179 -1.833184 1
582.361527 11.507358 0.000000 -0.021327 -0.638828 -0.112552 -1.722666 1
131.847409 9.310008 0.000000 -0.024430 -0.654584 -0.210582 -1.599923 1
57.606176 8.352509 0.000000 -0.026748 -0.667984 -0.165859 -1.472009 1
-69.757966 9.515119 0.000000 -0.030164 -0.679306 -0.235116 -1.358598 1
33.928133 8.946933 0.000000 -0.031537 -0.688631 -0.113897 -1.248121 1
