Column1	Column2	Column3	Column4	Column5	Column6
0.83876337404759	1.20410277891908	0.977738994741308	1.54772844637553	-3.08637572150007	0.0234241870422228
0.838799986714779	1.20395900509611	0.977743554833428	1.54799096343707	-3.08719301091322	0.023429034184482
0.838837228858706	1.20381691125762	0.977748098581354	1.54824898065697	-3.08800176920292	0.0234365741766722
0.838874990472445	1.20367775646288	0.977752586595779	1.54849994712605	-3.0887949481939	0.0234472334034731
0.838913169505901	1.20354273948943	0.977756983013612	1.54874139479334	-3.08956582426942	0.0234613984707323
0.8389516733964	1.20341297491029	0.977761256431532	1.54897098560424	-3.09030813062941	0.023479403711054
0.838990420412675	1.20328947175296	0.977765380637624	1.54918655607183	-3.09101617532169	0.0235015203115827
0.83902934080777	1.20317311537336	0.977769335108573	1.54938615817969	-3.09168494157887	0.0235279475055836
0.839068377775386	1.20306465304449	0.977773105252848	1.54956809562717	-3.09231016773264	0.0235588061600585
0.839107488202008	1.20296468360826	0.977776682394524	1.54973095456708	-3.09288840481602	0.0235941349671429
0.839146643204392	1.20287365137664	0.977780063506779	1.54987362814369	-3.09341705085982	0.0236338893159815
0.839185828439249	1.20279184430408	0.977783250717699	1.54999533431141	-3.09389436179296	0.02367794279278
0.839225044169946	1.20271939629549	0.977786250622907	1.55009562659289	-3.09431943972482	0.0237260911376237
0.839264305074168	1.20265629336921	0.977789073448923	1.55017439761657	-3.09469220017978	0.0237780583838782
0.839303639777245	1.20260238326928	0.977791732117572	1.5502318754509	-3.0950133205368	0.0238335048242705
0.839343090098412	1.20255738802062	0.977794241264935	1.55026861292336	-3.09528417247446	0.0238920363902906
0.839382710001921	1.20252091884647	0.977796616268166	1.55028547027352	-3.09550674161749	0.0239532150001288
0.839422564251537	1.20249249282288	0.977798872330347	1.55028359163854	-3.0956835378167	0.0240165694251089
0.839462726775393	1.20247155062835	0.977801023667663	1.55026437600556	-3.09581749957061	0.0240816062436286
0.839503278758093	1.20245747475792	0.977803082835196	1.55022944338603	-3.09591189602256	0.0241478204914835
0.839544306487888	1.20244960760709	0.977805060218128	1.55018059707037	-3.09597022975506	0.0242147056734699
0.839585898998059	1.20244726888778	0.97780696370478	1.55011978290644	-3.09599614327588	0.0242817628681927
0.839628145552846	1.20244977191314	0.977808798547293	1.55004904660845	-3.09599333167001	0.0243485087308035
0.839671133038621	1.20245643837421	0.977810567405622	1.54997049014348	-3.09596546340784	0.0244144822720414
0.839714943329887	1.2024666113249	0.977812270561153	1.5498862282575	-3.09591611077869	0.0244792503621435
0.839759650706506	1.20247966618747	0.977813906278369	1.54979834618984	-3.09584869089091	0.024542411971493
0.839805319402764	1.20249501968365	0.977815471286632	1.54970885958409	-3.09576641766912	0.0246036012138149
