Time X Y Z
0.100000 -0.000000 2.036861 -0.005862
0.011787 0.000000 2.034139 -0.005862
0.011029 0.000000 2.034139 -0.005862
0.014486 -0.000000 2.028694 -0.005862
0.013010 0.000000 2.020528 -0.005862
0.013390 -0.000000 2.009639 -0.005862
0.012123 -0.000000 2.009639 -0.005862
0.012884 -0.000000 1.996028 -0.005862
0.012732 0.000000 1.979694 -0.005862
0.012430 0.000000 1.960639 -0.005862
0.011459 0.000000 1.960639 -0.005862
0.013474 0.000000 1.938861 -0.005862
0.013674 -0.000000 1.914361 -0.005862
0.012189 0.000000 1.887139 -0.005862
0.012621 0.000000 1.887139 -0.005862
0.013320 0.000000 1.857194 -0.005862
0.014578 -0.000000 1.824528 -0.005862
0.013270 0.000000 1.789139 -0.005862
0.013194 0.000000 1.751028 -0.005862
0.010742 0.000000 1.751028 -0.005862
0.013728 -0.000000 1.710194 -0.005862
0.014113 0.000000 1.666639 -0.005862
0.012845 0.000000 1.620361 -0.005862
0.011648 0.000000 1.620361 -0.005862
0.012391 -0.000000 1.571361 -0.005862
0.013404 -0.000000 1.519639 -0.005862
0.015290 -0.000000 1.465194 -0.005862
0.012692 0.000000 1.408028 -0.005862
0.012481 0.000000 1.408028 -0.005862
0.015145 -0.000000 1.348139 -0.005862
0.013646 -0.000000 1.285528 -0.005862
0.013206 -0.000024 1.241513 -0.005489
0.018143 -0.000085 1.213332 -0.004464
0.015729 -0.002119 1.193867 -0.002515
0.014340 -0.003968 1.182568 0.001295
0.011622 -0.007297 1.179303 0.005919
0.012858 -0.007297 1.179303 0.005919
0.013016 -0.010747 1.181792 0.010255
0.014350 -0.014694 1.187952 0.015183
0.013093 -0.018591 1.195955 0.020443
0.010968 -0.018591 1.195955 0.020443
0.014013 -0.023165 1.204031 0.025812
0.015111 -0.027546 1.211434 0.031562
0.014323 -0.032135 1.217339 0.036985
0.015814 -0.036063 1.221605 0.042755
0.014308 -0.040044 1.224454 0.048442
0.013944 -0.044061 1.224900 0.054505
0.013098 -0.044061 1.224900 0.054505
0.022453 -0.048268 1.223855 0.060285
0.032871 -0.051876 1.220469 0.065506
0.015295 -0.055007 1.215956 0.070789
0.013840 -0.057864 1.209056 0.076082
0.016241 -0.060653 1.200937 0.081457
0.013976 -0.063781 1.190627 0.086574
0.016660 -0.066337 1.179723 0.092005
0.015293 -0.069015 1.166494 0.097715
0.015478 -0.071285 1.152589 0.103151
0.016364 -0.074005 1.136538 0.108277
0.014304 -0.076044 1.120158 0.113833
0.015718 -0.078280 1.101575 0.120072
0.016066 -0.080054 1.081865 0.125804
0.015290 -0.082141 1.060258 0.131215
0.016227 -0.083775 1.037385 0.136404
0.014432 -0.084875 1.013220 0.142241
0.012370 -0.084875 1.013220 0.142241
0.014110 -0.086129 0.986976 0.148032
0.014524 -0.086936 0.959335 0.153499
0.013255 -0.088187 0.929735 0.158721
0.013242 -0.088887 0.899147 0.164076
0.012492 -0.088887 0.899147 0.164076
0.014008 -0.090246 0.866836 0.169791
0.016709 -0.091522 0.834105 0.175931
0.015097 -0.094228 0.800286 0.182250
0.016075 -0.096860 0.766450 0.188931
0.013897 -0.099764 0.730583 0.194970
0.013169 -0.101786 0.694800 0.201813
0.015204 -0.104163 0.657026 0.208383
0.012362 -0.104163 0.657026 0.208383
0.014570 -0.105538 0.619057 0.215257
0.014314 -0.106995 0.578889 0.222186
0.014599 -0.108270 0.539633 0.229493
0.014116 -0.109184 0.501119 0.235813
0.015571 -0.109356 0.467343 0.241785
0.018686 -0.109209 0.446123 0.249164
0.015451 -0.109168 0.431173 0.257933
0.013875 -0.111053 0.418385 0.267091
0.015541 -0.111053 0.418385 0.267091
0.014494 -0.111735 0.409667 0.281171
0.015281 -0.114853 0.402433 0.294692
0.014138 -0.117554 0.397044 0.312574
0.014198 -0.119900 0.390972 0.327302
0.015179 -0.119233 0.384499 0.342101
0.015529 -0.118348 0.377340 0.356480
0.013031 -0.117174 0.369338 0.369876
0.011191 -0.117174 0.369338 0.369876
0.014196 -0.116058 0.360257 0.382605
0.013752 -0.115141 0.350648 0.396760
0.013280 -0.113611 0.340760 0.411070
0.013876 -0.113168 0.330242 0.424590
0.010332 -0.113168 0.330242 0.424590
0.013891 -0.111681 0.320018 0.437064
0.015055 -0.110055 0.308843 0.449436
0.015266 -0.108459 0.296316 0.461999
0.013061 -0.106568 0.282589 0.474692
0.014855 -0.105144 0.268682 0.487410
0.011728 -0.105144 0.268682 0.487410
0.012593 -0.103950 0.255229 0.499020
0.013459 -0.103452 0.243159 0.510229
0.014110 -0.102707 0.231524 0.521180
0.012882 -0.102102 0.221382 0.532273
0.012399 -0.102102 0.221382 0.532273
0.014084 -0.101974 0.212091 0.543272
0.012515 -0.102101 0.204489 0.554584
0.013021 -0.102576 0.197550 0.565672
0.011140 -0.102576 0.197550 0.565672
0.012903 -0.104619 0.194193 0.575611
0.014066 -0.106430 0.192919 0.584614
0.013629 -0.108852 0.192431 0.593216
0.012214 -0.111221 0.192472 0.600840
0.012057 -0.111221 0.192472 0.600840
0.014032 -0.113297 0.193155 0.606790
0.014592 -0.114922 0.193748 0.612368
