Time X Y Z
0.100000 -0.000000 2.036861 -0.005862
0.014806 0.000000 2.034139 -0.005862
0.014603 0.000000 2.034139 -0.005862
0.016682 -0.000000 2.028694 -0.005862
0.015075 0.000000 2.020528 -0.005862
0.015444 0.000000 2.009639 -0.005862
0.014499 0.000000 1.996028 -0.005862
0.015326 0.000000 1.979694 -0.005862
0.013727 0.000000 1.960639 -0.005862
0.016179 0.000000 1.938861 -0.005862
0.016170 0.000000 1.914361 -0.005862
0.014670 0.000000 1.887139 -0.005862
0.014563 0.000000 1.857194 -0.005862
0.014469 0.000000 1.857194 -0.005862
0.014922 0.000000 1.824528 -0.005862
0.013651 0.000000 1.789139 -0.005862
0.018845 0.000000 1.751028 -0.005862
0.015285 0.000000 1.710194 -0.005862
0.015550 0.000000 1.666639 -0.005862
0.015877 0.000000 1.620361 -0.005862
0.012532 0.000000 1.571361 -0.005862
0.018496 0.000000 1.519639 -0.005862
0.021674 0.000000 1.465194 -0.005862
0.016866 0.000000 1.408028 -0.005862
0.015104 0.000000 1.348139 -0.005862
0.016406 0.000000 1.285528 -0.005862
0.016315 -0.000024 1.241513 -0.005489
0.018626 -0.000117 1.213274 -0.004483
0.016109 -0.002090 1.193850 -0.002662
0.015146 -0.003971 1.182538 0.001177
0.016293 -0.007318 1.179195 0.005602
0.015405 -0.011076 1.181577 0.009847
0.014932 -0.015040 1.186339 0.014418
0.014018 -0.019120 1.193554 0.019450
0.015023 -0.023817 1.199978 0.024221
0.014800 -0.023817 1.199978 0.024221
0.015130 -0.028476 1.206945 0.029977
0.015938 -0.033640 1.211650 0.034991
0.015436 -0.038524 1.216518 0.040773
0.013740 -0.043530 1.218714 0.046747
0.015271 -0.048138 1.219992 0.052980
0.016908 -0.052855 1.218780 0.059178
0.016536 -0.057655 1.215857 0.065110
0.015889 -0.062283 1.210447 0.070671
0.017297 -0.067254 1.203832 0.076067
0.014647 -0.072155 1.195108 0.081890
0.015626 -0.077314 1.185840 0.087756
0.017147 -0.081304 1.175090 0.094632
0.013827 -0.085186 1.163537 0.102017
0.016148 -0.087929 1.149690 0.109334
0.014468 -0.090606 1.135207 0.117035
0.014949 -0.090606 1.135207 0.117035
0.015308 -0.093395 1.118472 0.123937
0.015464 -0.096641 1.101271 0.132000
0.014986 -0.098279 1.081836 0.139616
0.015295 -0.099729 1.061826 0.147416
0.015678 -0.101187 1.039588 0.154863
0.016133 -0.102656 1.017027 0.163250
0.015164 -0.104036 0.992283 0.171016
0.014628 -0.104803 0.967596 0.179489
0.015665 -0.105334 0.940856 0.187073
0.016212 -0.104860 0.912048 0.192567
0.016742 -0.104510 0.880849 0.198054
0.015477 -0.104124 0.847380 0.202467
0.015917 -0.103951 0.811928 0.208501
0.014610 -0.103951 0.811928 0.208501
0.017520 -0.103926 0.775462 0.214610
0.016364 -0.103868 0.738131 0.221355
0.014613 -0.104111 0.700732 0.228123
0.014869 -0.103990 0.662875 0.235169
0.014601 -0.104135 0.624303 0.242312
0.015738 -0.104189 0.585216 0.249636
0.015131 -0.104300 0.546865 0.257007
0.016335 -0.105907 0.510985 0.264589
0.015537 -0.107152 0.481611 0.271075
0.014828 -0.108623 0.465090 0.276191
0.014944 -0.111217 0.453431 0.284231
0.016560 -0.116350 0.446190 0.291296
0.015609 -0.122515 0.441236 0.299600
0.015603 -0.130943 0.438029 0.306349
0.014634 -0.130943 0.438029 0.306349
0.015794 -0.139906 0.436947 0.316620
0.015111 -0.146750 0.436415 0.323896
0.015266 -0.151204 0.435817 0.332992
0.015277 -0.155680 0.434820 0.342690
0.015276 -0.160335 0.433014 0.352188
0.015607 -0.165024 0.430958 0.362409
0.015281 -0.169745 0.427808 0.371524
0.014537 -0.173887 0.424556 0.380633
0.015220 -0.179147 0.420930 0.388503
0.015322 -0.184157 0.417598 0.398790
0.014334 -0.184157 0.417598 0.398790
0.015680 -0.188154 0.412680 0.406674
0.015884 -0.191638 0.406990 0.413906
0.015693 -0.194644 0.400305 0.423065
0.016582 -0.197904 0.393185 0.429737
0.015757 -0.198758 0.384907 0.436532
0.018945 -0.196272 0.375472 0.444022
0.017200 -0.193457 0.365195 0.451272
0.014822 -0.188845 0.355098 0.457992
