Pseudo;SCIndex;PushName;angle;mass;height;StepIndex;Impulse;MaxForce;PerturbationDuration;StepFrame;EscapeTtb;EscapeDtb;EscapeMoS;MinTtb;MinMoS;MinDtb;MaxSpeed;MinCpred;CrossoverIndex;MinTtr;MaxTheta_trunk;MaxOmega_trunk;MaxLinMom_xf;MaxAngMom_yf;MaxAngMom_z;Max_KE;Max_lin_KE;Max_angle_KE;Final_CoM_x;Final_CoM_y
DEL0696A;0;PH0_1;0;67.0;1.77;2;30.75047663393116;78.07564939572906;0.875;382;0.12722687262329124;0.06946532154544686;-0.1028310756324711;0.12715173375932548;-0.1030369877537253;0.06953557148800352;0.5468708088528418;-39.98699747105271;-1.0;1.4467599348711744;0.1034363343413963;1.0381520552435421;65.0772938616563;5.65752915889934;-2.11388192309709;20.3949429560965;20.613132696100653;1.1146040923420086;-0.456892118857145;0.017930916261761
DEL0696A;0;PH0_2;0;67.0;1.77;2;32.67839293529959;72.1943124479578;0.8250000000000001;1125;0.14994220021872537;0.07901366862142264;-0.08711128052483899;0.14928981072795328;-0.0883946336765841;0.07950993635231629;0.5344456859389806;-3021.865524798262;-1.0;3.743536655163886;0.031470359900003186;-0.4137909258039283;59.669493324044;8.19036654030827;1.59751931088372;21.0595509115012;19.181141483810865;0.011340865799557238;-0.354811933048099;0.0118996065772549
DEL0696A;0;PM0_1;0;67.0;1.77;2;26.9220430465943;60.78820885779061;1.03;1410;0.09578840197152286;0.045692585748656145;-0.10483786205133047;0.09932452356817992;-0.1001445508276818;0.04599841407182766;0.46311235553274716;-5111.47333742897;-1.0;4.481218647027141;0.04074698246746335;-0.3437637418480296;58.046040618715;4.27082109445253;1.59909936561846;8.86714782986585;14.448147336915468;0.007023927879957322;-0.335891063740763;0.013153302552206
DEL0696A;0;PM0_2;0;67.0;1.77;2;27.343670641281662;71.539533430535;0.86;947;0.22266301139155406;0.08658341433331458;-0.03629565873750766;0.22886979790440995;-0.033511645857562625;0.08802382521328501;0.38460218875209196;-192.70700261034372;1.0;2.303959773730499;0.04729807039788661;-0.6703634466402333;32.1954343005582;2.73274835002143;1.85354359778062;7.16690198729861;9.973521480785484;0.5911721006828522;-0.293159835091174;0.183575769234087
DEL0696A;0;PL0_1;0;67.0;1.77;2;13.83936278586614;44.182391811620214;0.85;274;0.25108557223914296;0.06530911082126857;-0.016704219788666277;0.25857177689174443;-0.01432072050917614;0.06503382109593465;0.25241702117459064;-886.326809752316;-1.0;2.8648704215893557;0.05015195623056552;-0.5376047078244073;27.9944669088866;1.91581735312676;0.193143672582369;3.46884370842497;4.2901758212307906;0.023109793459355033;-0.088240207110557;0.0104227199035881
DEL0696A;0;PL0_2;0;67.0;1.77;2;24.811435092133884;65.2852883097244;0.845;742;0.6446967822855991;0.09904449797554819;0.05064196192478525;0.30062294940255585;-0.004450697166786131;0.07982654415890866;0.3321274907431169;-130.58617730020933;-1.0;3.147396020094111;0.08533740774910914;0.4828961787515899;21.1980418962595;3.00418106759374;2.17424023932541;14.5682936362457;7.0355013671651125;0.6587310998091596;-0.14191682930769;0.074919286195378
DER0594A;0;PH0_1;0;75.0;1.82;0;60.493380283549634;101.51288148620743;1.125;1634;0;0;1000.0;0.8854493011518942;0.08300006095740833;0.09833847847299246;0.15486893052233822;-308.2997381161396;0;1.2224550735207163;0.15666756700171558;1.2290503869613008;11.6292013950008;3.7873983906234;-0.532390977852706;1.99046070861445;1.7579764701330172;0.6262771081526602;0.010444409386873;-0.00738156565358061
DER0594A;0;PH0_2;0;75.0;1.82;0;37.83210540804768;72.40032024490095;0.995;1428;0;0;1000.0;1.1223309681264537;0.12036400819302098;0.1478383202592728;0.153927054573423;-3432.2011698408296;0;2.4969606275620913;0.0878308634003538;0.6156420837500821;11.1210783980233;3.25194839632226;0.188791901706125;1.56109985284457;1.79293553996376;0.10096252741487959;0.00519991475060055;0.00102178495905492
DER0594A;0;PM0_1;0;75.0;1.82;0;24.018947124359673;48.231866353124055;0.925;1592;0;0;1000.0;1.035986731725548;0.09773375334369203;0.14101145749204463;0.13882464083883983;-1595.0016470518738;0;1.926469795786811;0.17308233596798192;0.766067747163296;10.3284169942775;2.9362953765797;-0.49624440971486;1.49382183862489;1.3565497181691355;0.14601342782036786;-0.000719007478234612;0.0141369774161864
DER0594A;0;PM0_2;0;75.0;1.82;0;32.6104231624749;70.38638158848413;0.9500000000000001;1502;0;0;1000.0;1.0521281272682153;0.08453644971139405;0.10891319998657525;0.12266046765880359;-597.2855677607499;0;3.3817905161263386;0.046565152281633326;0.4592247306375514;8.96346053651785;1.74321468413705;0.103555532738137;0.746242013698876;1.123177635136625;0.010479525211485693;0.00329103209843051;0.00621245398978854
