Time X Y Z
0.100000 -0.000000 2.036861 -0.005862
0.017058 0.000000 2.034139 -0.005862
0.018660 0.000000 2.028694 -0.005862
0.015433 0.000000 2.020528 -0.005862
0.015316 -0.000000 2.009639 -0.005862
0.014835 -0.000000 2.009639 -0.005862
0.016864 0.000000 1.996028 -0.005862
0.015459 0.000000 1.979694 -0.005862
0.016181 0.000000 1.960639 -0.005862
0.016894 0.000000 1.938861 -0.005862
0.019324 0.000000 1.914361 -0.005862
0.015862 0.000000 1.887139 -0.005862
0.016936 0.000000 1.857194 -0.005862
0.015720 0.000000 1.824528 -0.005862
0.016931 0.000000 1.789139 -0.005862
0.016751 0.000000 1.751028 -0.005862
0.016433 0.000000 1.710194 -0.005862
0.016737 0.000000 1.666639 -0.005862
0.018398 0.000000 1.620361 -0.005862
0.017654 0.000000 1.571361 -0.005862
0.015412 0.000000 1.519639 -0.005862
0.015195 0.000000 1.519639 -0.005862
0.016154 0.000000 1.465194 -0.005862
0.020066 0.000000 1.408028 -0.005862
0.016521 0.000000 1.348139 -0.005862
0.014810 0.000000 1.285528 -0.005862
0.016251 0.000000 1.285528 -0.005862
0.017608 -0.000238 1.241311 -0.005922
0.016676 -0.001483 1.209528 -0.005421
0.016112 -0.002364 1.186806 -0.004619
0.016855 -0.006368 1.173784 -0.001786
0.016601 -0.008157 1.168760 -0.000140
0.016560 -0.012202 1.170935 0.004273
0.016388 -0.013348 1.177844 0.007942
0.015940 -0.015096 1.188402 0.012958
0.015347 -0.017216 1.199063 0.018097
0.015606 -0.019646 1.208736 0.022017
0.015659 -0.022197 1.218275 0.027365
0.015115 -0.024420 1.225669 0.033087
0.015702 -0.026516 1.230549 0.038433
0.015569 -0.029009 1.233023 0.043231
0.014634 -0.031241 1.233259 0.047421
0.015450 -0.033048 1.232429 0.051377
0.015334 -0.034625 1.229914 0.055177
0.018522 -0.035519 1.227414 0.059137
0.015863 -0.036771 1.223356 0.062626
0.016500 -0.037804 1.219512 0.067260
0.016073 -0.039336 1.213470 0.072096
0.015709 -0.040082 1.207272 0.076265
0.014882 -0.040960 1.200001 0.079723
0.015153 -0.041390 1.193100 0.083527
0.014666 -0.041390 1.193100 0.083527
0.016662 -0.041121 1.184862 0.087297
0.015169 -0.040423 1.176480 0.091304
0.015398 -0.038916 1.166914 0.094636
0.017090 -0.036845 1.157630 0.098518
0.015475 -0.035455 1.146919 0.100735
0.014906 -0.034639 1.135242 0.104775
0.016754 -0.033650 1.121582 0.109581
0.015989 -0.032332 1.105698 0.114155
0.015572 -0.031179 1.087752 0.117955
0.015222 -0.029299 1.069138 0.121252
0.016120 -0.028093 1.049383 0.124446
0.016574 -0.026789 1.029519 0.127543
0.016344 -0.026392 1.008505 0.130282
0.017766 -0.025986 0.987808 0.133536
0.021196 -0.025761 0.965655 0.135869
0.015667 -0.024752 0.943718 0.139452
0.016654 -0.023744 0.919752 0.143652
0.016600 -0.022960 0.893719 0.146491
0.018899 -0.021928 0.866530 0.149759
0.016426 -0.020877 0.837342 0.152614
0.015104 -0.019760 0.806770 0.155317
0.016191 -0.018853 0.774537 0.157381
0.015954 -0.017714 0.741429 0.159402
0.015549 -0.016749 0.706672 0.161121
0.016965 -0.015774 0.672076 0.163557
0.017725 -0.014681 0.636237 0.165046
0.015794 -0.013702 0.601543 0.167884
0.014518 -0.012352 0.566459 0.168480
0.016398 -0.009799 0.534659 0.173798
0.013670 -0.006414 0.501870 0.178676
0.015273 -0.000813 0.482350 0.184031
0.015978 0.003406 0.470060 0.187127
0.015177 0.003406 0.470060 0.187127
0.015481 0.008700 0.463752 0.190418
0.015820 0.011647 0.460099 0.194659
0.016511 0.013777 0.458020 0.199405
0.017790 0.015474 0.456381 0.203695
0.015475 0.017881 0.455462 0.209134
0.016083 0.017963 0.455308 0.212309
0.015629 0.017282 0.454340 0.216913
0.015773 0.015959 0.452556 0.221103
0.015844 0.014145 0.451663 0.225660
0.016287 0.012678 0.450945 0.228747
0.015543 0.010773 0.450104 0.233849
0.015994 0.008929 0.448831 0.239124
0.015724 0.006973 0.447540 0.242576
0.014971 0.005055 0.446708 0.246027
0.015459 0.003477 0.445726 0.249371
0.016242 0.002065 0.444584 0.251572
0.016167 0.000797 0.443045 0.253737
0.016824 -0.001174 0.441440 0.254913
0.019682 -0.003032 0.439838 0.257405
0.030528 -0.004901 0.437497 0.258748
0.021274 -0.005873 0.435269 0.259424
0.017640 -0.006890 0.432972 0.260169
0.018076 -0.007835 0.430918 0.260807
0.019510 -0.009100 0.428649 0.261484
0.017107 -0.009851 0.426223 0.262211
0.017066 -0.010067 0.423426 0.263258
0.016406 -0.009519 0.420031 0.264463
0.016089 -0.009271 0.416875 0.264983
0.018374 -0.009140 0.414525 0.265065
0.016905 -0.008373 0.412805 0.265235
0.017024 -0.007283 0.411245 0.266331
0.018703 -0.006869 0.409855 0.266168
0.016554 -0.006376 0.408268 0.266625
0.016375 -0.006774 0.406700 0.265902
0.016579 -0.008466 0.404232 0.264694
0.015749 -0.009937 0.400729 0.263118
0.015666 -0.009937 0.400729 0.263118
0.016473 -0.012152 0.397149 0.263468
0.017346 -0.013187 0.392978 0.264676
0.016560 -0.014526 0.389481 0.265497
0.017519 -0.016019 0.386787 0.266201
0.016083 -0.017613 0.384633 0.267156
0.016874 -0.018511 0.382761 0.267550
0.016901 -0.019724 0.380727 0.267939
0.016177 -0.020326 0.378554 0.267589
0.017597 -0.020810 0.376328 0.268071
0.018295 -0.021764 0.374223 0.267363
0.018567 -0.022500 0.371841 0.268726
0.015087 -0.021700 0.368349 0.270046
0.017461 -0.021862 0.364631 0.271443
0.018050 -0.021516 0.360897 0.273253
0.018902 -0.021634 0.356731 0.274889
0.017934 -0.021922 0.353493 0.276472
0.016390 -0.022981 0.350493 0.277824
