c1x c1z c2x c2z c3x c3z c4x c4z c5x c5z c6x c6z c7x c7z c8x c8z X Z vX vZ
0.154896 -0.058046 0.347387 -0.056179 0.157844 -0.362032 0.350335 -0.360165 -0.347348 -0.056227 -0.154858 -0.058143 -0.350374 -0.360212 -0.157884 -0.362128 -0.000007 -0.259491 0.000023 -0.160313
0.154895 -0.058047 0.347386 -0.056179 0.157845 -0.362033 0.350336 -0.360165 -0.347347 -0.056226 -0.154856 -0.058144 -0.350376 -0.360211 -0.157885 -0.362129 -0.000007 -0.259490 0.000023 -0.156082
0.154895 -0.058047 0.347386 -0.056179 0.157846 -0.362033 0.350336 -0.360164 -0.347346 -0.056225 -0.154855 -0.058145 -0.350377 -0.360210 -0.157887 -0.362130 -0.000007 -0.259490 0.000005 -0.151007
0.154894 -0.058048 0.347385 -0.056179 0.157846 -0.362034 0.350337 -0.360164 -0.347345 -0.056224 -0.154854 -0.058145 -0.350378 -0.360209 -0.157888 -0.362130 -0.000007 -0.259490 0.000006 -0.146494
0.154894 -0.058048 0.347385 -0.056179 0.157846 -0.362034 0.350337 -0.360164 -0.347344 -0.056224 -0.154854 -0.058146 -0.350379 -0.360209 -0.157889 -0.362131 -0.000007 -0.259490 -0.000007 -0.142206
0.154894 -0.058049 0.347385 -0.056179 0.157847 -0.362034 0.350338 -0.360164 -0.347344 -0.056224 -0.154853 -0.058146 -0.350380 -0.360209 -0.157889 -0.362131 -0.000007 -0.259490 0.000001 -0.137723
0.154893 -0.058049 0.347384 -0.056179 0.157847 -0.362035 0.350338 -0.360165 -0.347343 -0.056224 -0.154853 -0.058147 -0.350380 -0.360209 -0.157890 -0.362131 -0.000007 -0.259490 0.000010 -0.133442
0.154894 -0.058049 0.347385 -0.056179 0.157847 -0.362035 0.350338 -0.360165 -0.347343 -0.056224 -0.154853 -0.058147 -0.350380 -0.360209 -0.157890 -0.362132 -0.000007 -0.259490 0.000026 -0.129333
0.154894 -0.058049 0.347385 -0.056180 0.157847 -0.362035 0.350338 -0.360165 -0.347343 -0.056224 -0.154853 -0.058147 -0.350380 -0.360209 -0.157890 -0.362132 -0.000007 -0.259491 0.000043 -0.125337
0.154894 -0.058049 0.347385 -0.056180 0.157846 -0.362035 0.350337 -0.360166 -0.347344 -0.056224 -0.154853 -0.058147 -0.350380 -0.360209 -0.157890 -0.362132 -0.000007 -0.259491 0.000057 -0.121402
0.154895 -0.058049 0.347386 -0.056181 0.157846 -0.362035 0.350336 -0.360167 -0.347344 -0.056225 -0.154854 -0.058147 -0.350379 -0.360210 -0.157889 -0.362132 -0.000007 -0.259491 0.000073 -0.117492
0.154896 -0.058049 0.347387 -0.056182 0.157845 -0.362035 0.350336 -0.360168 -0.347345 -0.056226 -0.154855 -0.058147 -0.350379 -0.360211 -0.157888 -0.362131 -0.000007 -0.259492 0.000083 -0.113565
0.154898 -0.058049 0.347389 -0.056183 0.157843 -0.362034 0.350334 -0.360169 -0.347347 -0.056227 -0.154856 -0.058146 -0.350377 -0.360212 -0.157887 -0.362131 -0.000007 -0.259493 0.000102 -0.109565
0.154899 -0.058048 0.347390 -0.056185 0.157842 -0.362034 0.350333 -0.360171 -0.347348 -0.056228 -0.154858 -0.058145 -0.350376 -0.360213 -0.157885 -0.362130 -0.000008 -0.259494 0.000111 -0.105458
0.154901 -0.058047 0.347392 -0.056187 0.157839 -0.362033 0.350330 -0.360173 -0.347350 -0.056230 -0.154860 -0.058145 -0.350374 -0.360215 -0.157883 -0.362130 -0.000008 -0.259495 0.000129 -0.101221
0.154904 -0.058046 0.347395 -0.056189 0.157837 -0.362032 0.350328 -0.360175 -0.347353 -0.056232 -0.154862 -0.058144 -0.350371 -0.360217 -0.157881 -0.362129 -0.000008 -0.259496 0.000128 -0.096826
0.154907 -0.058045 0.347398 -0.056192 0.157834 -0.362031 0.350325 -0.360177 -0.347356 -0.056235 -0.154865 -0.058142 -0.350369 -0.360220 -0.157878 -0.362127 -0.000008 -0.259497 0.000140 -0.092249
0.154910 -0.058044 0.347401 -0.056194 0.157831 -0.362030 0.350322 -0.360180 -0.347359 -0.056237 -0.154869 -0.058141 -0.350365 -0.360223 -0.157875 -0.362126 -0.000008 -0.259498 0.000130 -0.087487
0.154914 -0.058042 0.347405 -0.056198 0.157827 -0.362028 0.350318 -0.360184 -0.347363 -0.056240 -0.154873 -0.058139 -0.350362 -0.360226 -0.157871 -0.362124 -0.000008 -0.259500 0.000140 -0.082545
0.154918 -0.058040 0.347409 -0.056201 0.157822 -0.362026 0.350314 -0.360187 -0.347368 -0.056244 -0.154877 -0.058137 -0.350358 -0.360229 -0.157867 -0.362122 -0.000008 -0.259502 0.000125 -0.077426
0.154923 -0.058038 0.347414 -0.056205 0.157818 -0.362024 0.350309 -0.360191 -0.347372 -0.056248 -0.154882 -0.058135 -0.350353 -0.360233 -0.157862 -0.362120 -0.000008 -0.259504 0.000133 -0.072146
0.154928 -0.058036 0.347419 -0.056209 0.157812 -0.362022 0.350304 -0.360196 -0.347378 -0.056252 -0.154887 -0.058132 -0.350348 -0.360237 -0.157857 -0.362118 -0.000008 -0.259506 0.000110 -0.066734
0.154934 -0.058033 0.347425 -0.056214 0.157807 -0.362019 0.350298 -0.360200 -0.347383 -0.056256 -0.154892 -0.058130 -0.350343 -0.360241 -0.157852 -0.362115 -0.000008 -0.259508 0.000112 -0.061221
0.154939 -0.058030 0.347431 -0.056218 0.157801 -0.362017 0.350292 -0.360205 -0.347389 -0.056260 -0.154898 -0.058127 -0.350337 -0.360246 -0.157846 -0.362113 -0.000008 -0.259510 0.000082 -0.055642
0.154945 -0.058027 0.347437 -0.056223 0.157795 -0.362014 0.350286 -0.360210 -0.347396 -0.056265 -0.154905 -0.058124 -0.350331 -0.360251 -0.157840 -0.362110 -0.000008 -0.259512 0.000086 -0.050040
0.154952 -0.058024 0.347443 -0.056228 0.157788 -0.362011 0.350280 -0.360215 -0.347402 -0.056270 -0.154911 -0.058121 -0.350325 -0.360256 -0.157833 -0.362106 -0.000008 -0.259514 0.000057 -0.044462
