Pseudo;SCIndex;PushName;angle;StepIndex;Impulse;MaxForce;PerturbationDuration;StepFrame;EscapeTtb;EscapeDtb;EscapeMoS;MinTtb;MoS_min;MinDtb;MaxSpeed;MinTtr;MaxTheta_trunk;MaxOmega_trunk;MaxLinMom_xf;MaxAngMom_yf;MaxAngMom_z;Max_KE;Max_lin_KE;Max_angle_KE;Final_CoM_x;Final_CoM_y
GEC0801A;1;PM0_1;0;0;12.631619750445639;41.566195943375426;0.6900000000000001;1305;0;0;1000.0;0.4266023530580526;0.035592221870029944;0.08824205833623669;0.27900893309853353;1.2694672821442026;0.17477116175119695;1.1366325755791538;13.0713287865688;1.90476672913454;0.488620002572805;2.33380215766516;3.7749893567261474;0.36720709526217216;0.0079820498790284;-0.00358695645325413
GEC0801A;1;PM0_2;0;2;20.026236830179357;62.14445329643479;0.72;1116;0.26779619794410436;0.06885682008719642;-0.006187032615798721;0.2704957671283689;-0.005532235830507815;0.07004890243501952;0.2660450267695592;2.3837218461142737;0.14221504701471407;0.6446661739604606;12.7465547744642;2.38230164965296;-0.443698829470428;2.21437912024367;3.4115172310403574;0.020270480415663743;-0.334589273746777;-0.131575435175373
GEC0801A;1;PL0_1;0;2;16.78988052557366;39.81544740565463;0.79;1175;0.13061410049137465;0.02917994689093875;-0.03606337916814003;0.13422337867349732;-0.03533782844704141;0.030054986814347043;0.2811502629984109;1.3485701349641137;0.21878587029136323;1.0740939751319802;21.513525220646805;1.42404033229844;0.566121398856337;2.40709608311991;3.8324114914472043;0.035053985496539125;-0.587891780237038;0.32326554332914
ZIK0485A;1;PH0_1;0;2;31.902948346229397;75.85337463495209;0.77;1012;0.24952861464807818;0.07745916108305526;-0.01817861257483533;0.2581261626787528;-0.015341871487694227;0.07926074408714677;0.3070620322426967;6.271829695895287;0.03884230855329185;0.24725995558933267;52.4070130649621;4.50070911582787;-3.00922515419483;4.72658325948204;6.762520265682759;0.1762331343384093;-0.571329562079991;-0.00351864173191985
ZIK0485A;1;PH0_2;0;2;34.744460505662104;84.31647499357685;0.88;997;0.2103342772204619;0.07051863716353737;-0.0327973198212518;0.21824720953485793;-0.029817403018586822;0.0723779636859533;0.33163293973017904;2.303987207262999;0.1435129679319731;0.6347553597281188;56.6223252023044;4.73376405117777;-2.72516374249702;5.10320469881522;7.863775904911095;0.10516909212580812;-0.670517230991838;-0.0565255104838853
ZIK0485A;1;PM0_1;0;2;21.15036264354126;77.75176751578613;0.625;1270;0.23116075165516659;0.044166611267864045;-0.014784264907642033;0.2347341359002616;-0.014182640810997689;0.04510736600358915;0.2544688515978236;1.9514541855985366;0.08430468545316358;0.8019330209445378;19.122544653564198;5.28987126090604;-0.83192879238409;2.91587700976387;4.646118465213717;0.08766639417308454;-0.240084702592884;-0.122592327253308
ZIK0485A;1;PM0_2;0;0;20.17513039953154;66.94733572183304;0.61;1230;0;0;1000.0;0.5441404431321998;0.041912035269187;0.05858119286134792;0.1963731895954207;1.622630089907775;0.13233684706905266;-0.91630328235002;13.8982887193014;3.08594179578443;-0.164285151783137;1.98998407439384;2.737563161632826;0.02202568677388305;-0.0142881432053599;0.0216532349376426
ZIK0485A;1;PL0_1;0;2;15.58613228161451;68.56793541807419;0.555;914;0.4816822705304584;0.07657750316794458;0.027561732853791304;0.48202012652678417;0.0279940561515506;0.07768183878695346;0.18516331894611912;7.257018574150929;0.06042790894910815;0.2087796777307513;13.0963739765755;3.12867939109181;-1.02566945514957;1.79605526502606;2.4487672102881106;0.09249916092562603;-0.0741785586253916;-0.138968588119727
ZIK0485A;1;PL0_2;0;0;14.411927866345135;49.062885769036285;0.61;1238;0;0;1000.0;0.6453969027336388;0.04397591375154894;0.06210861893102636;0.15951634981080637;3.0508860391018517;0.05279111174420707;0.5076834801588822;11.1343861825327;2.41720623158232;-0.658383535267944;1.26537155920591;1.8209468692094473;0.19211151910032379;-0.0012793768720496;0.0163445637900758
CHA0296A;1;PH0_1;0;2;43.62054938477367;75.14023658626493;1.05;1272;0.38424268221910113;0.09218201684050012;0.01383749481942007;0.38784932709763426;0.014740877108558875;0.09328856420764087;0.24258767078928176;3.8595597194484723;0.04259658365420257;-0.3994240880054595;43.6811755175876;11.4816943363962;-0.69941178503801;4.97043670650478;5.351761893356452;0.010093000216507799;-0.594335833597591;-0.116388778348171
CHA0296A;1;PH0_2;0;2;47.11572129666614;81.4125693248527;1.135;1148;0.3576987861724994;0.07845120479155036;0.00681051584677097;0.3622425385253782;0.00781900565903825;0.0795693072675219;0.2207948091829041;2.63307033366162;0.041100857688191286;0.5866717439397127;31.740944762454195;7.45099188461032;-0.870394131599961;4.36401234588611;4.662577993951673;0.4258888627141462;-0.492499682603244;-0.150358721998422
CHA0296A;1;PM0_1;0;0;31.365904445305805;72.84209477341442;0.9;1196;0;0;1000.0;0.8832744219548879;0.08244702160066295;0.11248143517941947;0.1866631496070856;1.544173886330589;0.19465407054842723;0.9780958480543424;13.5003972063505;6.54890352624536;0.537002885361141;2.8404941706067;1.9157018777562878;0.3818617019743686;0.0118523014061382;0.0109862271260883
CHA0296A;1;PM0_2;0;0;31.714168440420273;79.57195559280662;0.925;1383;0;0;1000.0;0.8727749425514636;0.09678133583286237;0.14925747389419114;0.17806068147442158;2.404619194172725;0.1661841003976206;0.6064281341795915;15.8571127410795;5.4222546515962;0.398571357779695;2.56714750754817;2.8652525223681273;0.060928365691843234;0.00767839753643762;0.0117207465326572
CHA0296A;1;PL0_1;0;0;16.752858152909877;66.32523642746638;0.655;1331;0;0;1000.0;0.9564148776162745;0.09320675769468356;0.12001777757911014;0.15202372945467477;5.032950500207818;0.0938429302329092;0.30858350228558545;13.8733475147088;3.63176014378475;-0.181647719233537;1.53864620092019;2.133494050080278;0.024777937065072954;-0.0115387891180634;0.00603953455486972
CHA0296A;1;PL0_2;0;0;19.6852704791752;67.43812397355215;0.775;1264;0;0;1000.0;0.8339890174531099;0.06758964063116307;0.08493914365276398;0.15051763419870792;4.311051808252565;0.07896671334811509;-0.3614438433087076;13.7438586745132;3.85002677172385;-0.319776356227379;1.6252377267828;2.081730443412351;0.07235636362202212;-0.00852746305678953;-0.00341918013630738
