Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42
0	-0,080503247	-0,147812094	-0,435093949	-0,003570826	0,156094297	0,461758956	0,199955045	0,011941074	0,028645848	0,099967894	-0,101895171	0,005683054	0,140946458	0,023103261	-0,023558953	0,078422335	-0,086640918	-0,159126846	-0,156058308	0,101253071	0,059370735	0,12652922	0,016398481	-0,034153347	-0,243891406	0,132966834	-0,114332728	-0,919421972	-0,427786613	1,23916616	0,689614153	1,988280494	0,02251333	-0,114841799	0,478755701	0,281170142	-0,855249403	0,693548081	-2,477408727	0,313519671	-0,022641787
0	-0,081002826	-0,146534906	-0,435041863	-0,002207439	0,155338753	0,461771879	0,200790369	0,012010963	0,029374571	0,100838946	-0,101517797	0,007942748	0,139586497	0,022159268	-0,025253912	0,078697647	-0,086541464	-0,159056267	-0,15612967	0,101137796	0,060371937	0,126475839	0,016686416	-0,033144128	-0,243906436	0,132975108	-0,115431891	-0,921933974	-0,428438001	1,240996975	0,689225327	1,988460176	0,022806474	-0,115287687	0,477184739	0,281352329	-0,856436086	0,692702869	-2,480145635	0,314540508	-0,022513509
0	-0,081496638	-0,145275764	-0,434989321	-0,000862918	0,154591479	0,461785504	0,201617499	0,012077651	0,030095413	0,10170121	-0,101146618	0,010175484	0,138234154	0,021219471	-0,026940805	0,078967961	-0,086444257	-0,158985819	-0,156199662	0,101023816	0,061358631	0,126421033	0,016969669	-0,032144663	-0,243921567	0,132983477	-0,116513846	-0,924436358	-0,429076739	1,242806173	0,688837706	1,988653981	0,023100603	-0,115733372	0,475636135	0,281535876	-0,857615943	0,691872353	-2,482842821	0,315547043	-0,022388696
0	-0,081980903	-0,14404623	-0,434936632	0,000451038	0,153859145	0,461799987	0,202428224	0,012140383	0,030801499	0,102546071	-0,100785789	0,012361192	0,136900246	0,020291265	-0,028606224	0,079230598	-0,086350381	-0,158916013	-0,15626763	0,100912128	0,062321906	0,126365004	0,017245503	-0,031163378	-0,243936813	0,132991883	-0,117568448	-0,926907572	-0,42969574	1,24457574	0,688454251	1,988862498	0,023393725	-0,116175443	0,474119797	0,281719683	-0,858774953	0,691064566	-2,48547466	0,316529727	-0,022268874
0	-0,082452063	-0,142857343	-0,434884112	0,001723383	0,153148111	0,46181548	0,203214727	0,012198487	0,03148625	0,103365329	-0,100439251	0,014480716	0,135595208	0,019381812	-0,030237254	0,079483032	-0,086260912	-0,158847347	-0,156332963	0,100803692	0,063253264	0,126307979	0,017511259	-0,030208323	-0,24395223	0,133000288	-0,118586029	-0,929326966	-0,430288355	1,246288544	0,688077872	1,989086196	0,023683994	-0,116610527	0,472645342	0,281902684	-0,859899827	0,690287124	-2,488016836	0,317479495	-0,022155521
0	-0,082906857	-0,141719397	-0,434832081	0,002943944	0,152464309	0,461832123	0,203969759	0,012251397	0,03214352	0,104151382	-0,100110641	0,016516186	0,134328904	0,018497903	-0,031821713	0,079722945	-0,086176899	-0,158780299	-0,156395105	0,100699413	0,064144782	0,126250216	0,017764413	-0,029287011	-0,243967911	0,133008677	-0,119557595	-0,931675217	-0,430848533	1,247928712	0,687711379	1,989325393	0,02396976	-0,11703534	0,471221996	0,282083865	-0,860978352	0,689547066	-2,490446845	0,318387949	-0,022050041
0	-0,083342385	-0,14064175	-0,434780859	0,004103628	0,151813122	0,461850038	0,204686792	0,012298662	0,032767717	0,104897381	-0,099803211	0,018451369	0,133110449	0,017645851	-0,033348362	0,079948277	-0,086099348	-0,158715325	-0,156453569	0,10060012	0,064989266	0,126191996	0,018002618	-0,028406288	-0,243983992	0,133017055	-0,120475007	-0,933934701	-0,431370956	1,249481966	0,687357442	1,989580231	0,024249592	-0,117446741	0,469858472	0,282262281	-0,861999675	0,688850711	-2,492744461	0,319247534	-0,021953735
0	-0,083756162	-0,139632643	-0,434730765	0,00519459	0,151199295	0,461869327	0,205360143	0,012339964	0,033353904	0,105597366	-0,099519766	0,020271961	0,131948057	0,016831379	-0,034807094	0,080157269	-0,086029199	-0,158652849	-0,156507945	0,10050655	0,065780388	0,126133634	0,018223752	-0,027572206	-0,244000651	0,133025452	-0,121331132	-0,936089799	-0,431851153	1,250935889	0,687018543	1,989850647	0,024522307	-0,117841781	0,46856284	0,282437071	-0,862954516	0,688203535	-2,49489211	0,320051672	-0,021867776
0	-0,08414616	-0,138699066	-0,434682117	0,006210372	0,150626855	0,461890064	0,205985063	0,012375121	0,033897884	0,106246356	-0,099262613	0,021965832	0,130848909	0,01605954	-0,036189087	0,080348493	-0,085967311	-0,158593265	-0,156557909	0,100419342	0,066512787	0,126075469	0,018425953	-0,026789934	-0,244018102	0,13303392	-0,12211997	-0,938127131	-0,432285575	1,252280142	0,686696942	1,990136351	0,024786985	-0,118217742	0,46734237	0,282607463	-0,863835311	0,687610073	-2,496875183	0,32079488	-0,021793183
0	-0,084510845	-0,137846648	-0,434635225	0,007146001	0,150099056	0,461912294	0,206557804	0,012404094	0,034396251	0,106840422	-0,099033527	0,023523201	0,129819052	0,01533464	-0,03748692	0,080520877	-0,085914439	-0,158536934	-0,156603231	0,100339018	0,067182161	0,126017868	0,018607657	-0,026063685	-0,244036599	0,133042529	-0,122836758	-0,940035714	-0,432671649	1,253506597	0,686394637	1,990436812	0,025042963	-0,118572186	0,466203397	0,282772782	-0,864636279	0,687073844	-2,49868225	0,321472844	-0,02173081
