q torque X Z Y vX vZ pasEffectue 
0.000000 0.000000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 -0.000064 0.003652 0.990890 -0.003894 -0.046926 0
0.025382 2524.105401 -0.000064 0.003652 0.990890 -0.004081 -0.049047 0
0.025382 2524.105401 -0.000064 0.003652 0.990890 -0.004081 -0.049047 0
0.025382 2524.105401 -0.000098 0.004558 1.001584 -0.002140 -0.058906 0
0.031868 3597.698778 -0.000098 0.004558 1.001584 -0.002140 -0.059345 0
0.031868 3597.698778 -0.000098 0.004558 1.001584 -0.002140 -0.059345 0
0.031868 3597.698778 -0.000098 0.004558 1.001584 -0.002140 -0.059345 0
0.031868 3597.698778 -0.000067 0.005598 1.008948 0.001812 -0.067976 0
0.032954 2442.797389 -0.000067 0.005598 1.008948 0.001974 -0.068348 0
0.032954 2442.797389 -0.000067 0.005598 1.008948 0.001974 -0.068348 0
0.032954 2442.797389 0.000011 0.006599 1.013768 0.004688 -0.066645 0
0.034758 3165.415615 0.000011 0.006599 1.013768 0.004816 -0.066512 0
0.034758 3165.415615 0.000011 0.006599 1.013768 0.004816 -0.066512 0
0.034758 3165.415615 0.000110 0.007657 1.017441 0.006037 -0.071177 0
0.036310 4104.939692 0.000110 0.007657 1.017441 0.006037 -0.071354 0
0.036310 4104.939692 0.000110 0.007657 1.017441 0.006037 -0.071354 0
0.036310 4104.939692 0.000110 0.007657 1.017441 0.006037 -0.071354 0
0.036310 4104.939692 0.000204 0.008640 1.020734 0.005857 -0.067615 0
0.033990 3532.869727 0.000204 0.008640 1.020734 0.005857 -0.067383 0
0.033990 3532.869727 0.000204 0.008640 1.020734 0.005857 -0.067383 0
0.033990 3532.869727 0.000289 0.009638 1.023289 0.005381 -0.069506 0
0.037669 4515.277981 0.000289 0.009638 1.023289 0.005381 -0.069561 0
0.037669 4515.277981 0.000289 0.009638 1.023289 0.005381 -0.069561 0
0.037669 4515.277981 0.000362 0.010585 1.025492 0.004724 -0.067431 0
0.037834 4069.431306 0.000362 0.010585 1.025492 0.004724 -0.067280 0
0.037834 4069.431306 0.000362 0.010585 1.025492 0.004724 -0.067280 0
0.037834 4069.431306 0.000362 0.010585 1.025492 0.004724 -0.067280 0
0.037834 4069.431306 0.000419 0.011586 1.027176 0.003832 -0.071596 0
0.044563 4644.086320 0.000419 0.011586 1.027176 0.003832 -0.071759 0
0.044563 4644.086320 0.000419 0.011586 1.027176 0.003832 -0.071759 0
0.044563 4644.086320 0.000463 0.012574 1.028677 0.003087 -0.071878 0
0.050443 4258.617266 0.000463 0.012574 1.028677 0.003087 -0.071836 0
0.050443 4258.617266 0.000463 0.012574 1.028677 0.003087 -0.071836 0
0.050443 4258.617266 0.000492 0.013638 1.029778 0.002277 -0.077457 0
0.056859 4562.976969 0.000492 0.013638 1.029778 0.002277 -0.077680 0
0.056859 4562.976969 0.000492 0.013638 1.029778 0.002277 -0.077680 0
0.056859 4562.976969 0.000492 0.013638 1.029778 0.002277 -0.077680 0
0.056859 4562.976969 0.000510 0.014703 1.030832 0.001587 -0.078637 0
0.062073 4197.526500 0.000510 0.014703 1.030832 0.001587 -0.078631 0
0.062073 4197.526500 0.000510 0.014703 1.030832 0.001587 -0.078631 0
0.062073 4197.526500 0.000519 0.015843 1.031567 0.001028 -0.084225 0
0.063821 4403.252796 0.000519 0.015843 1.031567 0.001028 -0.084443 0
