q torque X Z Y vX vZ pasEffectue 
0.000000 0.000000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 -0.000083 0.003738 0.995828 -0.005090 -0.052136 0
0.025838 2378.664377 -0.000083 0.003738 0.995828 -0.005140 -0.052625 0
0.025838 2378.664377 -0.000083 0.003738 0.995828 -0.005140 -0.052625 0
0.025838 2378.664377 -0.000102 0.004855 1.003053 -0.001245 -0.071856 0
0.030733 2725.515647 -0.000102 0.004855 1.003053 -0.001206 -0.072039 0
0.030733 2725.515647 -0.000102 0.004855 1.003053 -0.001206 -0.072039 0
0.030733 2725.515647 -0.000102 0.004855 1.003053 -0.001206 -0.072039 0
0.030733 2725.515647 -0.000064 0.005989 1.008881 0.002250 -0.074077 0
0.031807 1922.081900 -0.000064 0.005989 1.008881 0.002285 -0.074086 0
0.031807 1922.081900 -0.000064 0.005989 1.008881 0.002285 -0.074086 0
0.031807 1922.081900 0.000011 0.007014 1.013399 0.004514 -0.068468 0
0.033479 2278.162098 0.000011 0.007014 1.013399 0.004535 -0.068401 0
0.033479 2278.162098 0.000011 0.007014 1.013399 0.004535 -0.068401 0
0.033479 2278.162098 0.000108 0.008031 1.017068 0.005892 -0.069059 0
0.035637 2886.926875 0.000108 0.008031 1.017068 0.005897 -0.069056 0
0.035637 2886.926875 0.000108 0.008031 1.017068 0.005897 -0.069056 0
0.035637 2886.926875 0.000108 0.008031 1.017068 0.005897 -0.069056 0
0.035637 2886.926875 0.000197 0.008928 1.020629 0.005547 -0.062756 0
0.034140 2837.603587 0.000197 0.008928 1.020629 0.005547 -0.062683 0
0.034140 2837.603587 0.000197 0.008928 1.020629 0.005547 -0.062683 0
0.034140 2837.603587 0.000290 0.009808 1.023147 0.005861 -0.062644 0
0.038854 3313.995033 0.000290 0.009808 1.023147 0.005861 -0.062635 0
0.038854 3313.995033 0.000290 0.009808 1.023147 0.005861 -0.062635 0
0.038854 3313.995033 0.000373 0.010613 1.025303 0.005351 -0.058874 0
0.038712 3087.310306 0.000373 0.010613 1.025303 0.005351 -0.058827 0
0.038712 3087.310306 0.000373 0.010613 1.025303 0.005351 -0.058827 0
0.038712 3087.310306 0.000373 0.010613 1.025303 0.005351 -0.058827 0
0.038712 3087.310306 0.000441 0.011435 1.026911 0.004527 -0.060748 0
0.045259 3392.981224 0.000441 0.011435 1.026911 0.004527 -0.060759 0
0.045259 3392.981224 0.000441 0.011435 1.026911 0.004527 -0.060759 0
0.045259 3392.981224 0.000498 0.012204 1.028373 0.003928 -0.058366 0
0.049592 3199.481457 0.000498 0.012204 1.028373 0.003928 -0.058334 0
0.049592 3199.481457 0.000498 0.012204 1.028373 0.003928 -0.058334 0
0.049592 3199.481457 0.000541 0.013010 1.029406 0.003115 -0.061340 0
0.055965 3415.786545 0.000541 0.013010 1.029406 0.003115 -0.061362 0
0.055965 3415.786545 0.000541 0.013010 1.029406 0.003115 -0.061362 0
0.055965 3415.786545 0.000541 0.013010 1.029406 0.003115 -0.061362 0
0.055965 3415.786545 0.000575 0.013782 1.030432 0.002614 -0.060154 0
0.060336 3172.068181 0.000575 0.013782 1.030432 0.002614 -0.060134 0
0.060336 3172.068181 0.000575 0.013782 1.030432 0.002614 -0.060134 0
0.060336 3172.068181 0.000598 0.014601 1.031104 0.001970 -0.063695 0
0.063319 3366.980284 0.000598 0.014601 1.031104 0.001970 -0.063722 0
